FUNC __main__._new_transition_matrix 52.6641 1666577362.2252 73.9219 1666577363.7706 0
FUNC __main__._asarray 73.9219 1666577363.7706 75.2070 1666577363.8299 2
FUNC __main__.eig_steadystate 73.9219 1666577363.7706 80.2812 1666577363.9366 1
FUNC __main__.entropy_rate 73.9219 1666577363.7706 80.3906 1666577363.9376 0
CMDLINE C:\Users\Wuestney\miniconda3\envs\monte-carlo-dev\python.exe gen_mc_transition.py
MEM 1.625000 1666577361.5910
MEM 15.531250 1666577361.7008
MEM 24.578125 1666577361.8148
MEM 30.242188 1666577361.9176
MEM 35.109375 1666577362.0177
MEM 40.714844 1666577362.1332
MEM 52.804688 1666577362.2344
MEM 55.175781 1666577362.3512
MEM 56.585938 1666577362.4679
MEM 57.906250 1666577362.5847
MEM 60.187500 1666577362.7014
MEM 61.453125 1666577362.8014
MEM 62.265625 1666577362.9016
MEM 63.453125 1666577363.0182
MEM 66.953125 1666577363.1183
MEM 68.015625 1666577363.2185
MEM 69.421875 1666577363.3273
MEM 70.546875 1666577363.4352
MEM 71.734375 1666577363.5519
MEM 72.734375 1666577363.6523
MEM 73.847656 1666577363.7686
MEM 83.070312 1666577363.8855
MEM 87.695312 1666577363.9858
MEM 100.328125 1666577364.1024
MEM 100.371094 1666577364.2025
MEM 100.371094 1666577364.3180
MEM 100.371094 1666577364.4193
MEM 100.371094 1666577364.5360
MEM 100.382812 1666577364.6530
