CMDLINE C:\Users\Wuestney\miniconda3\envs\monte-carlo-dev\python.exe gen_mc_transition.py
MEM 1.625000 1666577598.0603
MEM 14.906250 1666577598.1636
MEM 21.859375 1666577598.2672
MEM 29.394531 1666577598.3839
MEM 34.417969 1666577598.4840
MEM 39.593750 1666577598.5841
MEM 46.988281 1666577598.6841
MEM 54.320312 1666577598.7841
MEM 55.878906 1666577598.8842
MEM 57.210938 1666577598.9992
MEM 58.273438 1666577599.1010
MEM 60.523438 1666577599.2010
MEM 61.398438 1666577599.3015
MEM 62.460938 1666577599.4179
MEM 63.664062 1666577599.5347
MEM 67.046875 1666577599.6350
MEM 68.226562 1666577599.7515
MEM 69.226562 1666577599.8516
MEM 70.414062 1666577599.9662
MEM 71.433594 1666577600.0684
MEM 72.589844 1666577600.1851
MEM 73.585938 1666577600.2852
MEM 82.292969 1666577600.3854
MEM 80.558594 1666577600.4863
MEM 81.746094 1666577600.6022
MEM 82.933594 1666577600.7188
MEM 84.070312 1666577600.8356
MEM 85.113281 1666577600.9357
MEM 86.183594 1666577601.0357
MEM 87.113281 1666577601.1360
MEM 88.183594 1666577601.2525
MEM 89.281250 1666577601.3526
MEM 90.218750 1666577601.4527
MEM 91.218750 1666577601.5528
MEM 92.281250 1666577601.6687
MEM 93.281250 1666577601.7696
MEM 94.343750 1666577601.8697
MEM 95.281250 1666577601.9699
MEM 106.343750 1666577602.0856
MEM 107.281250 1666577602.1865
MEM 108.281250 1666577602.2867
MEM 109.445312 1666577602.4026
MEM 110.468750 1666577602.5034
MEM 111.531250 1666577602.6035
MEM 112.468750 1666577602.7036
MEM 113.644531 1666577602.8187
MEM 114.656250 1666577602.9204
MEM 115.718750 1666577603.0205
MEM 116.632812 1666577603.1206
MEM 117.792969 1666577603.2373
MEM 118.781250 1666577603.3374
MEM 119.718750 1666577603.4374
MEM 120.718750 1666577603.5396
MEM 121.792969 1666577603.6526
MEM 122.843750 1666577603.7543
MEM 123.863281 1666577603.8703
MEM 125.101562 1666577603.9878
MEM 126.101562 1666577604.0878
MEM 127.164062 1666577604.2047
MEM 128.167969 1666577604.3048
MEM 129.289062 1666577604.4209
MEM 130.414062 1666577604.5383
MEM 131.414062 1666577604.6385
MEM 132.539062 1666577604.7550
MEM 133.453125 1666577604.8551
MEM 134.449219 1666577604.9551
MEM 135.414062 1666577605.0551
MEM 136.601562 1666577605.1720
MEM 137.539062 1666577605.2721
MEM 145.929688 1666577605.3722
MEM 159.351562 1666577605.4875
MEM 160.414062 1666577605.5889
MEM 161.351562 1666577605.6890
MEM 162.414062 1666577605.7891
MEM 163.421875 1666577605.8891
MEM 164.601562 1666577606.0059
MEM 165.664062 1666577606.1060
MEM 166.664062 1666577606.2060
MEM 167.687500 1666577606.3063
MEM 168.914062 1666577606.4229
MEM 169.914062 1666577606.5229
MEM 170.914062 1666577606.6230
MEM 172.164062 1666577606.7399
MEM 173.351562 1666577606.8565
MEM 174.539062 1666577606.9712
MEM 175.539062 1666577607.0733
MEM 176.601562 1666577607.1734
MEM 177.421875 1666577607.2735
MEM 178.664062 1666577607.3902
MEM 179.789062 1666577607.5035
MEM 180.789062 1666577607.6067
MEM 181.832031 1666577607.7238
MEM 183.039062 1666577607.8386
MEM 184.039062 1666577607.9402
MEM 185.039062 1666577608.0407
MEM 186.164062 1666577608.1540
MEM 187.164062 1666577608.2575
MEM 188.289062 1666577608.3742
MEM 189.414062 1666577608.4887
MEM 190.414062 1666577608.5911
MEM 191.351562 1666577608.6911
MEM 192.351562 1666577608.7912
MEM 193.351562 1666577608.8913
MEM 194.414062 1666577609.0080
MEM 195.554688 1666577609.1081
MEM 196.429688 1666577609.2081
MEM 197.492188 1666577609.3084
MEM 198.679688 1666577609.4249
MEM 199.828125 1666577609.5418
MEM 200.859375 1666577609.6420
MEM 202.054688 1666577609.7585
MEM 203.066406 1666577609.8586
MEM 204.093750 1666577609.9587
MEM 205.113281 1666577610.0588
MEM 206.304688 1666577610.1755
MEM 207.429688 1666577610.2923
MEM 208.597656 1666577610.4090
MEM 209.566406 1666577610.5240
MEM 210.304688 1666577610.6291
MEM 211.304688 1666577610.7425
MEM 212.304688 1666577610.8427
MEM 213.179688 1666577610.9427
MEM 214.066406 1666577611.0427
MEM 215.097656 1666577611.1559
MEM 216.054688 1666577611.2593
MEM 216.992188 1666577611.3597
MEM 217.839844 1666577611.4599
MEM 218.929688 1666577611.5765
MEM 219.742188 1666577611.6766
MEM 220.679688 1666577611.7766
MEM 221.679688 1666577611.8767
MEM 222.742188 1666577611.9937
MEM 223.835938 1666577612.1102
MEM 264.070312 1666577612.2103
MEM 265.242188 1666577612.3270
